

| # | Industry | Department | Trade | Specialization |
|---|----------|------------|-------|----------------|
| 1 | Academic | Trainer | Commercial Trainer | Classroom Trainer |
| 2 | Academic | Trainer | Industrial Trainer | On-Site Trainer |
| 3 | Artificial Intelligence | IT Professional | Developer | .NET Developer |
| 4 | Artificial Intelligence | IT Professional | Developer | Application Developer |
| 5 | Artificial Intelligence | IT Professional | IT Support & Operations | Application Support Analyst |
| 6 | Artificial Intelligence | IT Professional | IT Management | Chief Information Officer (CIO) |
| 7 | Artificial Intelligence | IT Professional | Cloud & Infrastructure | Cloud Architect |
| 8 | Artificial Intelligence | IT Professional | Research & Science | Computer & Information Research Scientist |
| 9 | Artificial Intelligence | IT Professional | Cloud & Infrastructure | Computer Network Architect |
| 10 | Artificial Intelligence | IT Professional | IT Support & Operations | Data Center Support Specialist |
| 11 | Artificial Intelligence | IT Professional | Cybersecurity | Information Security Analyst |
| 12 | Artificial Intelligence | IT Professional | Research & Science | Robotics Scientist |
| 13 | Media & Creative | Design & Creative | Graphic & Visual Design | 3D Artist |
| 14 | Automobile | Accounting & Finance | Accounts | Accountant |
| 15 | Automobile | Accounting & Finance | Accounts | Accounting & Tax Secretary |
| 16 | Automobile | Accounting & Finance | Accounts | Accounts & Finance Executive |
| 17 | Automobile | Administration | Admin & Office Management | Admin Executive |
| 18 | Automobile | Sales & Business Development | Business Development | Assistant Manager – BD |
| 19 | Automobile | Sales & Business Development | Client Relations | Client Servicing Executive |
| 20 | Insurance & Financial Services | Accounting & Finance | Insurance | Commercial Insurance Underwriter |
| 21 | Automobile | Sales & Business Development | Business Development | Direct Marketing – Account Manager |
| 22 | Automobile | Maintenance & Facilities | BMS / HVAC / Fire | HVAC / BMS Technician |
| 23 | Automobile | Maintenance & Facilities | Instrumentation & Control | Analyser Technician |
| 24 | Automobile | Health, Safety & Environment | HSE | Assistant Manager – EHS |
| 25 | Automobile | IT & Technology | Developer | AI Engineer |
| 26 | Automobile | IT & Technology | Developer | Application Developer |
| 27 | Automobile | IT & Technology | Developer | Applications Engineer |
| 28 | Automobile | IT & Technology | IT Management | Chief Technology Officer (CTO) |
| 29 | Automobile | IT & Technology | Cloud & Infrastructure | Cloud Consultant |
| 30 | Automobile | IT & Technology | IT Management | Computer & Information Systems Manager |
| 31 | Automobile | IT & Technology | IT Support & Operations | Computer Systems Analyst |
| 32 | Automobile | IT & Technology | IT Support & Operations | Customer Support Administrator |
| 33 | Automobile | IT & Technology | Data & Analytics | Data Quality Manager |
| 34 | Automobile | IT & Technology | Cybersecurity | Security Specialist |
| 35 | Automobile | Engineering | Design & Drafting | 2D CAD Draughtsman |
| 36 | Architecture & Construction | Design & Creative | Architecture | 3D Architect Visualizer |
| 37 | Aviation & Aerospace | Engineering | Aeronautical | Aeronautical Analyst |
| 38 | Automobile | Manufacturing | Production | Assembler |
| 39 | Energy & Utilities | Operations & Maintenance | Renewable Energy | Asset Manager – Wind & Solar |
| 40 | Automobile | Engineering | Production Engineering | Assistant Engineer – Production |
| 41 | Automobile | Health, Safety & Environment | HSE | Assistant Manager – EHS |
| 42 | Automobile | Engineering | Instrumentation | Assistant Manager – Instrument |
| 43 | Oil & Gas | Laboratory & Quality | Chemical Analysis | Chemical Analyst |
| 44 | Oil & Gas | Engineering | Chemical Engineering | Chemical Engineer |
| 45 | Telecommunications | Engineering | Communications | Communications Engineer |
| 46 | Automobile | Engineering | Electrical & Instrumentation | E&I Engineer |
| 47 | Automobile | Engineering | Mechanical | Electro Mechanical Engineer |
| 48 | Construction | Engineering | Fire & Safety Systems | Fire Detection & Alarm Design Engineer |
| 49 | Construction | Engineering | MEP | HVAC Design Engineer |
| 50 | Oil & Gas | Engineering | Piping | Mechanical Piping Engineer |
| 51 | Construction | Project Management | MEP | MEP Construction Manager |
| 52 | Mining | Management | Senior Management | Senior Manager – Mining |
| 53 | Aviation & Aerospace | Quality & Inspection | Inspector | Aircraft Inspector |
| 54 | Automobile | Commissioning & Pre-Commissioning | Fabrication & Fitting | Aluminium / Glass Fitter |
| 55 | Automobile | Commissioning & Pre-Commissioning | Welding | Panel / Body Welder |
| 56 | Automobile | Manufacturing | CNC Operations | CNC Machine Operator |
| 57 | Automobile | Manufacturing | Tool Room | Tool Room Assistant Operator |
| 58 | Health & Fitness | Trainer | Commercial Trainer | Fitness Trainer |
| 59 | Academic | Trainer | Industrial Trainer | Electrical Trainer |
| 60 | Automobile | Maintenance | Carpentry | Carpenter |
| 61 | Automobile | Maintenance | Masonry | Mason – All Rounder |
| 62 | Automobile | Maintenance | Painting | Airless Painter |
| 63 | Automobile | Maintenance | Plumbing | Plumber Assistant |
| 64 | Automobile | Maintenance | General Maintenance | All Rounder |
| 65 | Automobile | Body Shop & Paint | Auto Technician | Auto Denter |
| 66 | Automobile | Sales & Business Development | Sales | Area Sales Manager |
| 67 | Automobile | Electrical & Electronics | Auto Technician | Auto Electrician – Heavy Equipment |
| 68 | Automobile | Sales & Business Development | Sales | Auto Sales Manager |
| 69 | Automobile | Workshop & Service | Auto Technician | Auto Mechanic – General |
| 70 | Automobile | Sales & Business Development | Sales | Dealer Sales Executive |
| 71 | Automobile | Workshop & Service | Auto Technician | Auto Mechanic – Heavy Equipment |
| 72 | Automobile | Manufacturing | Production | Production Manager |
| 73 | Automobile | Body Shop & Paint | Auto Technician | Auto Painter |
| 74 | Automobile | Sales & Business Development | Sales | Retail Sales Manager |
| 75 | Academic | Trainer | Industrial Trainer | Automobile Trainer |
| 76 | Automobile | Workshop & Service | Auto Technician | Other |
| 77 | Automobile | Electrical & Electronics | Auto Technician | Crane Electrician |
| 78 | Automobile | Sales & Business Development | Sales | Sales Executive |
| 79 | Automobile | Workshop & Service | Auto Technician | Crane Mechanic |
| 80 | Automobile | Sales & Business Development | Service | Service Advisor |
| 81 | Automobile | Workshop & Service | Auto Technician | Generator Technician / Mechanic |
| 82 | Automobile | Sales & Business Development | Service | Service Sales Manager |
| 83 | Automobile | Workshop & Service | Auto Technician | Hydraulic Mechanic |
| 84 | Automobile | Sales & Business Development | Sales | Other |
| 85 | Automobile | Workshop & Service | Auto Technician | Automobile Technician |
| 86 | Automobile | Workshop & Service | Auto Technician | Assistant / Trainee |
| 87 | Automobile | Workshop & Service | Auto Technician | Tyreman – Commercial |
| 88 | Automobile | Workshop & Service | Auto Technician | Tyreman – Heavy Equipment |
| 89 | Automobile | Workshop & Service | Auto Technician | Repair Technician |
| 90 | Automobile | Electrical & Electronics | Auto Technician | Auto Electrician – General |
| 91 | Automobile | Design & Engineering | Design | Auto Designer |
| 92 | Automobile | Workshop & Service | Auto Technician | Maintenance Technician |
| 93 | Automobile | Workshop & Service | Auto Technician | Auto Mechanic |
| 94 | Automobile | Workshop & Service | Auto Technician | Automobile Service Engineer |
| 95 | Automobile | Engineering | Automotive Engineering | Automobile Engineer |
| 96 | Aviation & Aerospace | IT & Technology | Developer | Applications Engineer |
| 97 | Aviation & Aerospace | IT & Technology | Developer | Associate Developer |
| 98 | Aviation & Aerospace | IT & Technology | Cloud & Infrastructure | Cloud Product & Project Manager |
| 99 | Aviation & Aerospace | IT & Technology | Cloud & Infrastructure | Computer Network Architect |
| 100 | Aviation & Aerospace | IT & Technology | IT Support & Operations | Customer Support Specialist |
| 101 | Aviation & Aerospace | IT & Technology | Data & Analytics | Database Administrator |
| 102 | Aviation & Aerospace | IT & Technology | IT Management | Director of Technology |
| 103 | Aviation & Aerospace | IT & Technology | IT Management | Product Manager |
| 104 | Aviation & Aerospace | IT & Technology | Developer | Programmer Analyst |
| 105 | Aviation & Aerospace | IT & Technology | Cybersecurity | Senior Security Specialist |
| 106 | Banking & Finance | Sales & Business Development | Client Relations | Account Director |
| 107 | Banking & Finance | Accounting & Finance | Accounts | Accounting / Auditing Clerk |
| 108 | Banking & Finance | Accounting & Finance | Accounts | Accounts & Finance Manager |
| 109 | Banking & Finance | Administration | Admin & Office Management | Administration & Secretarial |
| 110 | Banking & Finance | Administration | Admin & Office Management | Company Secretary |
| 111 | Banking & Finance | Sales & Business Development | Business Development | BD Advisor |
| 112 | Banking & Finance | Marketing & Communications | Digital Marketing | Digital Media Manager |
| 113 | Banking & Finance | Sales & Business Development | Direct Marketing | Direct Marketing Executive / Officer |
| 114 | Insurance & Financial Services | Operations | Insurance | Insurance Claims Manager |
| 115 | Banking & Finance | IT & Technology | Data & Analytics | AI Data Analyst |
| 116 | Banking & Finance | IT & Technology | Developer | Associate Developer |
| 117 | Banking & Finance | IT & Technology | Developer | Back End Developer |
| 118 | Banking & Finance | IT & Technology | Developer | Cloud Services Developer |
| 119 | Banking & Finance | IT & Technology | Developer | Computer Programmer |
| 120 | Banking & Finance | IT & Technology | IT Support & Operations | Computer Systems Analyst |
| 121 | Banking & Finance | IT & Technology | IT Support & Operations | Desktop Support Manager |
| 122 | Banking & Finance | IT & Technology | IT Management | IT Director |
| 123 | Banking & Finance | IT & Technology | Data & Analytics | Senior Database Administrator |
| 124 | Banking & Finance | IT & Technology | Developer | Senior Programmer Analyst |
| 125 | Construction | Transport & Logistics | Driver | Trailer Driver |
| 126 | Construction | Heavy Equipment | Heavy Equipment Operator | Crawler Crane Operator |
| 127 | Hospitality & Catering | Sales & Business Development | Sales | Banquet Sales Executive |
| 128 | Hospitality & Catering | Food & Beverage | Chef / Cook | Butcher Chef (Boucher) |
